preferred_name,name_name,name_acronym,name_preferred,name_language,type,repository_status,year_established,preferred_org_name,org_name_name,org_name_acronym,org_name_preferred,preferred_org_unit_name,org_unit_name_name,org_unit_name_acronym,org_unit_name_preferred,date_modified,date_created,date_created_month_year
PDXScholar,PDXScholar,,name,en,institutional,fully_functional,,Portland State University,Portland State University,,name,,,,,4/17/2018 12:29,3/25/2015 15:40,2015-03
PEAK Digital,PEAK Digital,,name,en,institutional,fully_functional,,University of Denver,University of Denver,,name,Penrose Library,Penrose Library,,name,3/21/2018 11:41,3/2/2011 11:11,2011-03
Pepperdine Digital Commons,Pepperdine Digital Commons,,name,en,institutional,fully_functional,,Pepperdine University,Pepperdine University,,name,,,,,3/16/2018 12:02,6/29/2012 16:28,2012-06
Perseus Digital Library,Perseus Digital Library,,name,en,disciplinary,fully_functional,1987,Tufts University,Tufts University,,name,Department of the Classics,Department of the Classics,,name,6/12/2012 14:06,8/24/2006 11:11,2006-08
PhilSci Archive,PhilSci Archive,PS,name,en,disciplinary,fully_functional,2001,University of Pittsburgh,University of Pittsburgh,UP,name,University Library System,University Library System,,name,3/21/2018 11:41,12/29/2005 12:12,2005-12
Pillars at Taylor University,Pillars at Taylor University,,name,en,institutional,fully_functional,,Taylor University,Taylor University,,name,,,,,2/4/2019 16:46,2/4/2019 16:43,2019-02
Pioneer Open Access Repository,Pioneer Open Access Repository,,name,en,institutional,fully_functional,,Texas Womans University,Texas Womans University,,name,,,,,4/17/2018 12:29,12/10/2013 14:36,2013-12
Policy Archive,Policy Archive,,name,en,disciplinary,fully_functional,,Center for Governmental Studies,Center for Governmental Studies,,name,Indiana University-Purdue University Indianapolis Library,Indiana University-Purdue University Indianapolis Library,,name,3/16/2018 12:02,6/20/2008 9:09,2008-06
Portal to Texas History,Portal to Texas History,,name,en,disciplinary,fully_functional,,University of North Texas,University of North Texas,UNT,name,,,,,3/16/2018 12:02,4/20/2011 9:09,2011-04
Portfolio @ Duke,Portfolio @ Duke,,name,en,institutional,withdrawn_from_use,2003,Duke University,Duke University,,name,Arts & Sciences and Trinity College,Arts & Sciences and Trinity College,,name,1/24/2012 11:11,8/24/2006 14:14,2006-08
Protein Data Bank,Protein Data Bank,,name,en,disciplinary,fully_functional,,The Research Collaboratory for Structural Bioinformatics (RCSB),The Research Collaboratory for Structural Bioinformatics (RCSB),RCSB,name,,,,,4/17/2018 12:29,1/27/2014 15:50,2014-01
PubChem,PubChem,,name,en,aggregating,fully_functional,,National Library of Medicine,National Library of Medicine,NLM,name,NCBI,National Center for Biotechnology Information,NCBI,acronym,3/16/2018 12:02,10/17/2008 10:10,2008-10
PubMed Central,PubMed Central,,name,en,disciplinary,fully_functional,2000,National Institutes of Health,National Institutes of Health,,name,,,,,1/18/2019 11:42,1/30/2006 13:33,2006-01
Purdue E-Scholar,Purdue E-Scholar,Purdue e-Pubs,name,en,institutional,fully_functional,,Purdue University,Purdue University,,name,Purdue University Libraries,Purdue University Libraries,,name,3/21/2018 11:41,8/17/2006 12:12,2006-08
Purdue University Libraries E-archives,Purdue University Libraries E-archives,,name,en,institutional,fully_functional,,Purdue University,Purdue University,,name,"Purdue University Libraries, Archives and Special Collections","Purdue University Libraries, Archives and Special Collections",,name,3/16/2018 12:02,9/5/2006 16:16,2006-09
RIT Digital Media Library,RIT Digital Media Library,RIT DML,name,en,institutional,fully_functional,,Rochester Institute of Technology,Rochester Institute of Technology,,name,RIT Library,RIT Library,,name,3/21/2018 11:41,8/25/2006 10:10,2006-08
RIT Scholar Works,RIT Scholar Works,,name,en,institutional,fully_functional,,Rochester Institute of Technology,Rochester Institute of Technology,,name,,,,,4/17/2018 12:29,5/28/2014 16:11,2014-05
RRUFF Project,RRUFF Project,,name,en,disciplinary,fully_functional,,University of Arizona,University of Arizona,UA,name,"Department of Geosciences, University of Arizona","Department of Geosciences, University of Arizona",,name,3/16/2018 12:02,8/11/2006 16:16,2006-08
RUCore,Rutgers University Community Repository,RUCore,acronym,en,institutional,fully_functional,,Rutgers University,Rutgers University,,name,Rutgers University Libraries,Rutgers University Libraries,,name,3/21/2018 11:41,2/2/2009 13:13,2009-02
RePEc,Research Papers in Economics,RePEc,acronym,en,disciplinary,fully_functional,,"RePEc Project, USA","RePEc Project, USA",,name,,,,,3/16/2018 12:02,8/25/2006 10:10,2006-08
Repository at St. Cloud State,Repository at St. Cloud State,,name,en,institutional,fully_functional,,St. Cloud State University,St. Cloud State University,,name,,,,,4/17/2018 12:29,11/7/2016 15:40,2016-11
Repository@NOAA,Repository@NOAA,,name,en,institutional,withdrawn_from_use,,National Oceanic and Atmospheric Administration,National Oceanic and Atmospheric Administration,NOAA,name,NOAA Central Library,NOAA Central Library,,name,3/16/2018 12:02,8/17/2006 12:12,2006-08
Research Exchange,Research Exchange,,name,en,institutional,fully_functional,,Washington State University,Washington State University,WSU,name,,,,,3/21/2018 11:41,5/2/2008 10:10,2008-05
