preferred_name,name_name,name_acronym,name_preferred,name_language,type,repository_status,year_established,preferred_org_name,org_name_name,org_name_acronym,org_name_preferred,preferred_org_unit_name,org_unit_name_name,org_unit_name_acronym,org_unit_name_preferred,date_modified,date_created,date_created_month_year
The Commons,The Commons,,name,en,aggregating,fully_functional,2008,Yahoo,Yahoo,,name,Flickr,Flickr,,name,9/17/2014 8:45,8/22/2014 16:33,2014-08
The Cupola: Scholarship at Gettysburg College,The Cupola: Scholarship at Gettysburg College,,name,en,institutional,fully_functional,,Gettysburg College,Gettysburg College,,name,,,,,3/16/2018 12:02,12/20/2013 10:51,2013-12
"The Five Colleges of Ohio Digital Repository: Looking Back, Looking Forward","The Five Colleges of Ohio Digital Repository: Looking Back, Looking Forward",,name,en,institutional,fully_functional,,Denison University,Denison University,,name,,,,,4/17/2018 12:29,2/10/2014 12:41,2014-02
The Keep,The Keep,,name,en,institutional,fully_functional,,Eastern Illinois University,Eastern Illinois University,,name,,,,,3/16/2018 12:02,11/30/2011 14:14,2011-11
The Open Repository @Binghamton (The ORB),The Open Repository @Binghamton (The ORB),,name,en,institutional,fully_functional,,Binghamton University,Binghamton University,,name,Binghamton University Libraries,Binghamton University Libraries,,name,4/17/2018 12:29,2/27/2017 9:56,2017-02
The Orange Grove,The Orange Grove,,name,en,aggregating,fully_functional,,Florida Distance Learning Consortium,Florida Distance Learning Consortium,,name,,,,,3/16/2018 12:02,2/16/2009 15:15,2009-02
Think Tech,Think Tech,,name,en,institutional,fully_functional,,Texas Tech University,Texas Tech University,TTU,name,,,,,3/16/2018 12:02,6/12/2012 10:17,2012-06
ThinkIR,ThinkIR,,name,en,institutional,fully_functional,,University of Louisville,University of Louisville,,name,,,,,2/13/2019 15:35,2/13/2019 15:31,2019-02
Tiger Scholar Commons,Tiger Scholar Commons,,name,en,institutional,fully_functional,,Savannah State University,Savannah State University,,name,,,,,4/17/2018 12:29,11/10/2016 16:02,2016-11
TopSCHOLAR,TopSCHOLAR,,name,en,institutional,fully_functional,2007,Western Kentucky University,Western Kentucky University,,name,,,,,3/21/2018 11:41,4/19/2007 14:14,2007-04
Touro Scholar,Touro Scholar,,,,institutional,fully_functional,,Touro College & University System,Touro College & University System,,name,,,,,3/25/2019 14:35,3/25/2019 14:33,2019-03
Trace,Tennessee Research and Creative Exchange,Trace,acronym,en,institutional,fully_functional,,University of Tennessee,University of Tennessee,,name,,,,,3/16/2018 12:02,4/23/2010 14:14,2010-04
Traveling Culture: Circuit Chautauqua in the Twentieth Century,Traveling Culture: Circuit Chautauqua in the Twentieth Century,,name,en,institutional,fully_functional,,University of Iowa Libraries,University of Iowa Libraries,,name,The Library of Congress,The Library of Congress,,name,3/16/2018 12:02,9/15/2006 11:11,2006-09
Triceratops,TriCollege Libraries Institutional Repository,Triceratops,acronym,en,institutional,fully_functional,,"Haverford College, Bryn Mawr College, Swarthmore College","Haverford College, Bryn Mawr College, Swarthmore College",,name,College Libraries,College Libraries,,name,3/21/2018 11:41,12/20/2005 16:54,2005-12
Trinity Digital Collections,Trinity Digital Collections,,name,en,institutional,fully_functional,,Trinity University,Trinity University,,name,Elizabeth Huth Coates Library,Elizabeth Huth Coates Library,,name,3/16/2018 12:02,8/17/2006 14:14,2006-08
Triptych,TriCollege Digital Library,Triptych,acronym,en,institutional,fully_functional,,Bryn Mawr College Special collections,Bryn Mawr College Special collections,,name,,,,,3/21/2018 11:41,9/15/2006 10:10,2006-09
Tufts Digital Library,Tufts Digital Library,,name,en,institutional,fully_functional,,Tufts University,Tufts University,,name,Tisch Library,Tisch Library,,name,4/17/2018 12:29,3/19/2015 15:11,2015-03
Tulane University Digital Repository,Tulane University Digital Repository,,name,en,institutional,fully_functional,,Tualne University,Tualne University,,name,,,,,4/17/2018 12:29,9/18/2013 11:15,2013-09
UB Institutional Repository,UB Institutional Repository,,name,en,institutional,fully_functional,,University at Buffalo,University at Buffalo,,name,,,,,3/16/2018 12:02,2/6/2012 10:10,2012-02
UB ScholarWorks,UB ScholarWorks,,name,en,institutional,fully_functional,,University of Bridgeport,University of Bridgeport,,name,,,,,4/17/2018 12:29,2/16/2016 9:28,2016-02
UKnowledge,UKnowledge,,name,en,institutional,fully_functional,,University of Kentucky,University of Kentucky,,name,,,,,4/17/2018 12:29,9/5/2012 9:58,2012-09
UMBC,"University of Maryland, Baltimore County",UMBC,acronym,en,institutional,fully_functional,,"University of Maryland, Baltimore County (UMBC)","University of Maryland, Baltimore County (UMBC)",,name,,,,,3/21/2018 11:41,8/12/2013 12:50,2013-08
UMW Libraries Digital Collections,UMW Libraries Digital Collections,,name,en,institutional,fully_functional,,University of Wisconsin - Milwaukee,University of Wisconsin - Milwaukee,UVM,name,University of Wisconsin - Milwaukee Libraries,University of Wisconsin - Milwaukee Libraries,,name,3/16/2018 12:02,8/31/2006 10:10,2006-08
UNA Scholarly Repository,UNA Scholarly Repository,,name,en,institutional,fully_functional,,"University of North Alabama, Florence","University of North Alabama, Florence",,name,,,,,3/11/2019 14:22,3/11/2019 14:21,2019-03
UNC Dataverse,UNC Dataverse,,name,en,institutional,fully_functional,,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,,name,Odum Institute for Research in Social Science,Odum Institute for Research in Social Science,,name,2/19/2019 11:18,8/6/2013 11:14,2013-08
UNC Digital collections,UNC Digital collections,,name,en,institutional,fully_functional,,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,,name,,,,,4/17/2018 12:29,3/31/2015 16:36,2015-03
UNF Digital Commons,UNF Digital Commons,,name,en,institutional,fully_functional,,University of North Florida,University of North Florida,UNF,name,Thomas G. Carpenter Library,Thomas G. Carpenter Library,,name,3/16/2018 12:02,7/13/2012 11:51,2012-07
UNH Scholars' Repository,UNH Scholars' Repository,,name,en,institutional,fully_functional,,University of New Hampshire,University of New Hampshire,,name,,,,,4/17/2018 12:29,9/26/2013 14:32,2013-09
UNI ScholarWorks,UNI ScholarWorks,,name,en,institutional,fully_functional,,University of Northern Iowa,University of Northern Iowa,UNI,name,,,,,2/12/2019 11:18,2/12/2019 11:10,2019-02
UNT Digital Library,UNT Digital Library,,name,en,institutional,fully_functional,,University of North Texas,University of North Texas,UNT,name,,,,,3/16/2018 12:02,1/29/2010 11:11,2010-01
UNTHSC Scholarly Repository,UNTHSC Scholarly Repository,,name,en,institutional,fully_functional,,University of North Texas Health Science Center,University of North Texas Health Science Center,UNTHSC,name,,,,,3/16/2018 12:02,7/16/2009 10:10,2009-07
UR Research,University of Rochester Digital Repository,UR Research,acronym,en,institutional,fully_functional,2003,University of Rochester,University of Rochester,,name,Rush Rhees Library,Rush Rhees Library,,name,3/15/2018 3:50,12/9/2005 11:44,2005-12
UR Scholarship,UR Scholarship,,name,en,institutional,fully_functional,,University of Richmond,University of Richmond,,name,,,,,3/11/2019 14:17,3/11/2019 14:15,2019-03
USC Digital Library,USC Digital Library,,name,en,institutional,fully_functional,,University of Southern California,University of Southern California,,name,,,,,3/21/2018 11:41,9/6/2006 10:10,2006-09
USFSP Digital Archive,USFSP Digital Archive,,name,en,institutional,fully_functional,,University of South Florida St. Petersburg,University of South Florida St. Petersburg,,name,,,,,4/4/2018 9:52,4/13/2011 9:09,2011-04
USGS Publications Warehouse,USGS Publications Warehouse,,name,en,governmental,fully_functional,,USGS,United States Geological Survey,USGS,acronym,,,,,3/25/2019 15:09,3/25/2019 15:08,2019-03
USRA Houston Repository,USRA Houston Repository,,name,en,institutional,fully_functional,,Universities Space Research Association,Universities Space Research Association,USRA,name,Lunar and Planetary Institute,Lunar and Planetary Institute,,name,7/2/2018 9:52,2/11/2016 10:40,2016-02
USpace,University of Utah Institutional Repository,USpace,acronym,en,institutional,fully_functional,2005,University of Utah,University of Utah,U of U,name,University of Utah Libraries,University of Utah Libraries,,name,3/15/2018 3:50,1/25/2006 15:18,2006-01
UTC Digital Collections,UTC Digital Collections,,name,en,institutional,fully_functional,,University of Tennessee at Chattanooga,University of Tennessee at Chattanooga,,name,,,,,4/17/2018 12:29,3/12/2015 12:22,2015-03
UTC Scholar,UTC Scholar,,name,en,institutional,fully_functional,,University of Tennessee at Chattanooga,University of Tennessee at Chattanooga,,name,,,,,4/17/2018 12:29,3/12/2015 11:58,2015-03
Ulukau: The Hawaiian Electronic Library,Ulukau: The Hawaiian Electronic Library,,name,en,disciplinary,fully_functional,,University of Hawai'i at Hilo,University of Hawai'i at Hilo,,name,Hale Kuamoʻo,Hale Kuamoʻo,,name,3/16/2018 12:02,9/23/2008 14:14,2008-09
United Nations Digital Library Islamabad,United Nations Digital Library Islamabad,,name,en,institutional,technically_malfunctioning,,United Nations,United Nations,,name,,,,,3/16/2018 12:02,9/23/2008 16:16,2008-09
University Archives,University Archives,,name,en,institutional,fully_functional,,Uniformed Services University of the Health Sciences,Uniformed Services University of the Health Sciences,,name,,,,,4/17/2018 12:29,6/10/2015 14:30,2015-06
University of Alabama Institutional Repository,University of Alabama Institutional Repository,,name,en,institutional,fully_functional,,"University of Alabama, Tuscaloosa","University of Alabama, Tuscaloosa",,name,,,,,3/26/2019 11:51,3/26/2019 11:49,2019-03
University of Arizona Campus Repository,University of Arizona Campus Repository,,name,en,institutional,fully_functional,,University of Arizona,University of Arizona,UA,name,,,,,3/16/2018 12:02,5/2/2012 9:50,2012-05
University of Chicago Library Digital Activities & Collections,University of Chicago Library Digital Activities & Collections,,name,en,institutional,fully_functional,,University of Chicago,University of Chicago,,name,University of Chicago Library,University of Chicago Library,,name,3/16/2018 12:02,8/31/2006 14:14,2006-08
University of Cincinnati Digital Resource Commons,University of Cincinnati Digital Resource Commons,,name,en,institutional,fully_functional,,University of Cincinnati,University of Cincinnati,,name,,,,,3/16/2018 12:02,12/7/2009 13:13,2009-12
University of Delaware Library Institutional Repository,University of Delaware Library Institutional Repository,,name,en,institutional,fully_functional,2004,University of Delaware,University of Delaware,UD,name,University of Delaware Library,University of Delaware Library,,name,3/15/2018 3:50,1/11/2006 14:39,2006-01
University of Florida Digital Collections,University of Florida Digital Collections,UFDC,name,en,institutional,fully_functional,,University of Florida,University of Florida,,name,George A Smathers Libraries,George A Smathers Libraries,,name,3/16/2018 12:02,9/1/2009 10:10,2009-09
University of Florida Institutional Repository,University of Florida Institutional Repository,,name,en,institutional,fully_functional,,University of Florida,University of Florida,,name,,,,,3/16/2018 12:02,1/7/2008 15:15,2008-01
University of Florida Law Repository,University of Florida Law Repository,,name,en,institutional,fully_functional,,University of Florida Levin College of Law,University of Florida Levin College of Law,,name,,,,,4/17/2018 12:29,3/13/2015 15:22,2015-03
University of Georgia Electronic Theses and Dissertations,University of Georgia Electronic Theses and Dissertations,,name,en,institutional,replaced_by_new_url,,University of Georgia,University of Georgia,,name,Main Library,Main Library,,name,3/16/2018 12:02,8/17/2006 16:16,2006-08
University of Houston Institutional Repository,University of Houston Institutional Repository,,name,en,institutional,fully_functional,,University of Houston,University of Houston,,name,University of Houston Libraries,University of Houston Libraries,,name,1/29/2019 11:11,1/29/2019 11:07,2019-01
University of Idaho Library Digital Initiatives,University of Idaho Library Digital Initiatives,,name,en,institutional,fully_functional,,University of Idaho,University of Idaho,,name,,,,,7/2/2018 11:56,7/12/2013 16:12,2013-07
University of Miami Libraries Scholarly Repository,University of Miami Libraries Scholarly Repository,,name,en,institutional,fully_functional,,University of Miami,University of Miami,,name,,,,,3/16/2018 12:02,5/8/2014 11:08,2014-05
University of Michigan Library Repository,University of Michigan Library Repository,,name,en,institutional,not_accepting_deposits,1996,University of Michigan,University of Michigan,U-M,name,University of Michigan Library,University of Michigan Library,,name,3/21/2018 11:41,10/18/2006 19:19,2006-10
University of Minnesota Digital Conservancy,University of Minnesota Digital Conservancy,,name,en,institutional,fully_functional,,University of Minnesota,University of Minnesota,U of M,name,,,,,3/21/2018 11:41,8/29/2007 10:10,2007-08
University of Minnesota IMAGES,University of Minnesota IMAGES,,name,en,institutional,fully_functional,,University of Minnesota,University of Minnesota,U of M,name,,,,,3/21/2018 11:41,10/12/2006 16:16,2006-10
"University of Nevada, Las Vegas Repository","University of Nevada, Las Vegas Repository",UNLV IR,name,en,institutional,fully_functional,,"University of Nevada, Las Vegas","University of Nevada, Las Vegas",,name,"University of Nevada, Las Vegas Libraries","University of Nevada, Las Vegas Libraries",,name,3/21/2018 11:41,4/14/2010 11:11,2010-04
"University of Nevada, Reno ScholarWorks Repository","University of Nevada, Reno ScholarWorks Repository",,name,en,institutional,fully_functional,,"University of Nevada, Reno","University of Nevada, Reno",,name,,,,,4/17/2018 12:29,11/18/2016 15:11,2016-11
University of New Mexico Digital Repository,University of New Mexico Digital Repository,UNM,name,en,institutional,fully_functional,,University of New Mexico,University of New Mexico,UNM,name,,,,,1/22/2019 9:22,12/9/2005 11:44,2005-12
University of Oregon Scholars' Bank,University of Oregon Scholars' Bank,,name,en,institutional,fully_functional,,University of Oregon,University of Oregon,,name,Knight Library,Knight Library,,name,3/21/2018 11:41,8/18/2006 10:10,2006-08
University of Tampa Institutional Repository,University of Tampa Institutional Repository,,name,en,institutional,fully_functional,,University of Tampa,University of Tampa,,name,,,,,4/17/2018 12:29,2/28/2018 12:01,2018-02
University of Tennessee Sunsite Open Archives Initiative,University of Tennessee Sunsite Open Archives Initiative,,name,en,institutional,replaced_by_new_url,,University of Tennessee,University of Tennessee,,name,,,,,3/16/2018 12:02,8/18/2006 10:10,2006-08
University of Texas Arlington -- Institutional Repository,University of Texas Arlington -- Institutional Repository,,name,en,institutional,fully_functional,,University of Texas Arlington,University of Texas Arlington,UTA,name,,,,,3/21/2018 11:41,9/30/2008 16:16,2008-09
University of Texas Rio Grande Valley Institutional Repository,University of Texas Rio Grande Valley Institutional Repository,,name,en,institutional,fully_functional,,University of Texas Rio Grande Valley,University of Texas Rio Grande Valley,UTRGV,name,,,,,2/7/2019 15:09,2/7/2019 10:23,2019-02
University of Toledo Digital Repository,University of Toledo Digital Repository,,name,en,institutional,fully_functional,,University of Toledo,University of Toledo,,name,,,,,2/20/2019 9:29,2/16/2017 15:19,2017-02
University of Washington Structural Informatics Group Publications,University of Washington Structural Informatics Group Publications,UW-SIG Publications,name,en,institutional,fully_functional,2005,University of Washington,University of Washington,UW,name,University of Washington Structural Informatics Group,University of Washington Structural Informatics Group,UW-SIG,name,3/21/2018 11:41,1/2/2006 13:17,2006-01
Upjohn Research,Upjohn Research,,name,en,institutional,fully_functional,,W.E. Upjohn Institute for Employment Research,W.E. Upjohn Institute for Employment Research,,name,,,,,3/5/2019 15:57,3/5/2019 15:55,2019-03
VAULT,VAULT,,name,en,institutional,fully_functional,,California College of the Arts,California College of the Arts,,name,,,,,4/17/2018 12:29,5/3/2016 14:51,2016-05
VCU Libraries Digital Collections,VCU Libraries Digital Collections,,name,en,institutional,fully_functional,,Virginia Commonwealth University,Virginia Commonwealth University,,name,,,,,4/17/2018 12:29,3/19/2015 10:15,2015-03
VCU Scholars Compass,VCU Scholars Compass,,name,en,institutional,fully_functional,,Virginia Commonwealth University,Virginia Commonwealth University,,name,,,,,4/17/2018 12:29,3/19/2015 10:26,2015-03
VTechWorks,VTechWorks,,name,en,institutional,fully_functional,,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Virginia Tech,name,,,,,3/21/2018 11:42,6/6/2012 10:42,2012-06
Valley of the Shadow,Valley of the Shadow,,name,en,disciplinary,fully_functional,,University of Virginia,University of Virginia,,name,Virginia Center for Digital History,Virginia Center for Digital History,,name,3/16/2018 12:02,8/30/2006 13:13,2006-08
ValpoScholar,ValpoScholar,,name,en,institutional,fully_functional,,Valparaiso University,Valparaiso University,,name,,,,,3/16/2018 12:02,11/9/2011 11:11,2011-11
Vanderbilt Electronic Thesis and Dissertation Archive,Vanderbilt Electronic Thesis and Dissertation Archive,,name,en,institutional,fully_functional,,Vanderbilt University,Vanderbilt University,,name,Jean and Alexander Heard Library,Jean and Alexander Heard Library,,name,3/21/2018 11:42,1/4/2006 12:02,2006-01
Via Sapientiae: The Institutional Repository at DePaul University,Via Sapientiae: The Institutional Repository at DePaul University,,name,en,institutional,fully_functional,,DePaul University,DePaul University,,name,,,,,4/18/2018 9:20,9/20/2013 12:01,2013-09
Virginia Henderson Global Nursing e-Repository,Virginia Henderson Global Nursing e-Repository,,name,en,institutional,fully_functional,,"The Honor Society of Nursing, Sigma Theta Tau International","The Honor Society of Nursing, Sigma Theta Tau International",,name,,,,,3/21/2018 11:42,6/18/2014 11:38,2014-06
Virginia Tech Digital Library Research Laboratory ePrints,Virginia Tech Digital Library Research Laboratory ePrints,DLRL Publications,name,en,institutional,replaced_by_new_url,,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Virginia Tech,name,,,,,3/16/2018 12:02,8/17/2006 14:14,2006-08
Virtual Commons - Bridgewater State University,Virtual Commons - Bridgewater State University,,name,en,institutional,fully_functional,,Bridgewater State University,Bridgewater State University,,name,,,,,3/21/2018 11:42,9/26/2013 12:32,2013-09
Virtual Jamestown,Virtual Jamestown,,name,en,disciplinary,fully_functional,,University of Virginia,University of Virginia,,name,,,,,3/16/2018 12:02,8/30/2006 13:13,2006-08
Vtext Digital Repository,Vtext Digital Repository,,name,en,institutional,fully_functional,,Valdosta State University,Valdosta State University,,name,,,,,3/21/2018 11:42,10/22/2009 9:09,2009-10
W&M ScholarWorks,W&M ScholarWorks,,name,en,institutional,fully_functional,,"College of William and Mary, Williamsburg, VA","College of William and Mary, Williamsburg, VA",,name,,,,,3/20/2019 10:15,3/20/2019 10:09,2019-03
WSU Libraries Digital Collections,WSU Libraries Digital Collections,,name,en,institutional,not_accepting_deposits,,Washington State University,Washington State University,WSU,name,WSU Libraries,Washington State University Libraries,WSU Libraries,acronym,3/16/2018 12:02,10/17/2006 21:21,2006-10
Washington Research Library Consortium - Digital Collections,Washington Research Library Consortium - Digital Collections,,name,en,aggregating,fully_functional,,Washington Research Library Consortium,Washington Research Library Consortium,WRLC,name,,,,,3/16/2018 12:02,8/3/2006 11:11,2006-08
Washington Research Library Consortium Special Collections,Washington Research Library Consortium Special Collections,,name,en,aggregating,fully_functional,,Washington Research Library Consortium,Washington Research Library Consortium,WRLC,name,,,,,3/16/2018 12:02,9/15/2011 10:10,2011-09
WesScholar,WesScholar,,name,en,institutional,fully_functional,,Wesleyan University,Wesleyan University,,name,,,,,3/16/2018 12:02,6/9/2009 11:11,2009-06
Western CEDAR,Western CEDAR,,name,en,institutional,fully_functional,,Western Washington University,Western Washington University,,name,,,,,4/17/2018 12:29,3/20/2015 14:31,2015-03
White Library Digital Repository,White Library Digital Repository,,name,en,institutional,fully_functional,,Spring Arbor University,Spring Arbor University,,name,,,,,4/17/2018 12:29,7/28/2015 12:06,2015-07
Wikimedia Commons,Wikimedia Commons,,name,en,institutional,fully_functional,,"Wikimedia Foundation, Inc","Wikimedia Foundation, Inc",,name,,,,,5/14/2018 10:24,8/18/2014 14:58,2014-08
William & Mary Law School Scholarship Repository,William & Mary Law School Scholarship Repository,,name,en,institutional,fully_functional,,William &amp; Mary Law School,William &amp; Mary Law School,,name,Wolf Law Library,Wolf Law Library,,name,3/21/2018 11:42,11/16/2011 15:15,2011-11
Wilson Center Digital Archive,Wilson Center Digital Archive,International History Declassified,name,en,disciplinary,fully_functional,1991,Woodrow Wilson International Center for Scholars,Woodrow Wilson International Center for Scholars,Wilson Centre,name,,,,,2/5/2014 15:32,8/27/2006 8:08,2006-08
Wireless U,Wireless U,,name,en,disciplinary,technically_malfunctioning,,Wireless U,Wireless U,,name,,,,,3/16/2018 12:02,1/18/2011 11:11,2011-01
Woods Hole Open Access Server,Woods Hole Open Access Server,WHOAS,name,en,institutional,fully_functional,,Marine Biological Laboratory &amp; Woods Hole Oceanographic Institution,Marine Biological Laboratory &amp; Woods Hole Oceanographic Institution,MBL &amp; WHOI,name,MBLWHOI Library,MBLWHOI Library,,name,3/21/2018 11:42,12/9/2005 11:44,2005-12
Works,Works,,name,en,institutional,fully_functional,,Swarthmore College,Swarthmore College,,name,Swarthmore College Libraries,Swarthmore College Libraries,,name,4/17/2018 12:29,11/10/2016 16:00,2016-11
Yale Law School Legal Scholarship Repository,Yale Law School Legal Scholarship Repository,eYLS,name,en,institutional,fully_functional,,Yale Law School,Yale Law School,,name,Lillian Goldman Law Library,Lillian Goldman Law Library,,name,4/17/2018 12:29,4/1/2015 14:44,2015-04
Yale Medicine Thesis Digital Library,Yale Medicine Thesis Digital Library,,name,en,institutional,fully_functional,2002,Yale University,Yale University,,name,Harvey Cushing/John Hay Whitney Medical Library,Harvey Cushing/John Hay Whitney Medical Library,,name,11/23/2016 11:44,1/23/2006 9:46,2006-01
Yeshiva Academic Institutional Repository,Yeshiva Academic Institutional Repository,YAIR,name,en,institutional,fully_functional,,Yeshiva University,Yeshiva University,,name,Yeshiva University Libraries,Yeshiva University Libraries,,name,3/4/2019 15:13,3/4/2019 15:10,2019-03
arXiv.org e-Print Archive,arXiv.org e-Print Archive,,name,en,disciplinary,fully_functional,1991,Cornell University,Cornell University,,name,University Library,University Library,,name,3/15/2018 3:35,1/4/2006 14:23,2006-01
bepress Legal Repository,bepress Legal Repository,,name,en,disciplinary,fully_functional,,Berkeley Electronic Press,Berkeley Electronic Press,Bepress,name,,,,,3/21/2018 11:42,8/25/2006 13:13,2006-08
"bioRxiv,","bioRxiv,",,name,en,disciplinary,fully_functional,,Cold Spring Harbor Laboratory,Cold Spring Harbor Laboratory,,name,,,,,4/17/2018 12:29,7/29/2014 11:42,2014-07
d-Commons,d-Commons,,name,en,institutional,fully_functional,,University of Minnesota Duluth,University of Minnesota Duluth,UMD,name,Kathryn A. Martin Library,Kathryn A. Martin Library,,name,4/17/2018 12:29,10/30/2013 14:29,2013-10
eArchives,eArchives,,name,en,institutional,fully_functional,,"Indiana University - Purdue University, Indianapolis","Indiana University - Purdue University, Indianapolis",IUPUI,name,,,,,3/21/2018 11:42,3/11/2008 11:11,2008-03
eCommons@Cornell,eCommons@Cornell,,name,en,institutional,fully_functional,2005,Cornell University,Cornell University,,name,Cornell University Library,Cornell University Library,,name,3/21/2018 11:42,12/12/2005 16:13,2005-12
ePublish@UTD,ePublish@UTD,,name,en,institutional,replaced_by_new_url,,University of Texas at Dallas,University of Texas at Dallas,UTD,name,,,,,3/16/2018 12:02,8/7/2006 14:14,2006-08
eScholarShare at Drake University,eScholarShare at Drake University,,name,en,institutional,fully_functional,,Drake University,Drake University,,name,,,,,3/21/2018 11:42,1/4/2006 12:00,2006-01
eScholarship - University of California,eScholarship - University of California,,name,en,institutional,fully_functional,2002,University of California,University of California,,name,California Digital Library,California Digital Library,,name,3/21/2018 11:42,1/11/2006 14:23,2006-01
eScholarship@BC,eScholarship@BC,,name,en,institutional,fully_functional,,Boston College,Boston College,BC,name,,,,,2/4/2019 16:56,1/4/2006 12:01,2006-01
eScholarship@UMMS,eScholarship@UMMS,,name,en,institutional,fully_functional,,University of Massachusetts Medical School,University of Massachusetts Medical School,UMASS,name,Lamar Soutter Library,Lamar Soutter Library,,name,3/21/2018 11:42,8/17/2006 13:13,2006-08
eVols at University of Hawaii at Manoa,eVols at University of Hawaii at Manoa,,name,en,institutional,fully_functional,,University of Hawai'i at Manoa,University of Hawai'i at Manoa,,name,,,,,3/16/2018 12:02,10/15/2009 10:10,2009-10
epublications@Marquette,epublications@Marquette,,name,en,institutional,fully_functional,,Marquette University,Marquette University,,name,,,,,3/21/2018 11:42,9/2/2010 10:10,2010-09
kydl OAI Archive,kydl OAI Archive,,name,en,disciplinary,fully_functional,,Kentucky.gov,Kentucky.gov,,name,Kentucky Virtual Library,Kentucky Virtual Library,,name,3/16/2018 12:02,9/11/2006 14:14,2006-09
repository.iit,Illinois Institute of Technology’s institutional repository,repository.iit,acronym,en,institutional,fully_functional,,Illinois Institute of Technology,Illinois Institute of Technology,,name,,,,,4/17/2018 12:29,3/11/2015 15:20,2015-03
