UNIVERSITY,COUNTRY,CITATIONS
King Abdullah University of Science & Technology,Saudi Arabia,367595
University of Georgia,United States of America,367183
Brunel University,United Kingdom,363967
University of Amsterdam,Netherlands,358190
Aarhus University,Denmark,358068
York University,Canada,354284
Utrecht University,Netherlands,353529
Università di Pisa (Università degli Studi di Pisa),Italy,352993
University of Cape Town,South Africa,350822
North Carolina State University,United States of America,349969
University of Western Australia,Australia,348827
Hong Kong University of Science & Technology,Hong Kong,348523
Universität Basel,Switzerland,347328
Università degli Studi di Bari Aldo Moro,Italy,346498
Rensselaer Polytechnic Institute,United States of America,345388
Queen's University Kingston,Canada,345142
Dartmouth College,United States of America,344995
Delft University of Technology TU Delft,Netherlands,343738
Università degli Studi di Napoli Federico II,Italy,340231
University of Maryland Baltimore,United States of America,339970
University of Kansas,United States of America,339411
Universidad de Granada,Spain,334863
Saint Petersburg State University,Russia,334411
University of Waterloo,Canada,332687
Universitat de Barcelona,Spain,331782
University of Aberdeen,United Kingdom,330440
University of Sheffield,United Kingdom,330272
University of Leicester,United Kingdom,328954
Yeshiva University,United States of America,328821
University of New Mexico,United States of America,327746
Aalborg University,Denmark,327585
Università degli Studi di Perugia,Italy,327547
Karlsruhe Institute of Technology (Universität Karlsruhe),Germany,326341
University of Waikato,New Zealand,325405
Virginia Commonwealth University,United States of America,323928
University of Texas Dallas,United States of America,322737
Texas Tech University,United States of America,322629
Hong Kong Polytechnic University,Hong Kong,321124
University at Buffalo,United States of America,320988
George Mason University,United States of America,320589
Tel Aviv University,Israel,320428
University of Nottingham,United Kingdom,319997
Cardiff University,United Kingdom,318990
University of New Hampshire,United States of America,317462
University of Arkansas for Medical Sciences,United States of America,317121
University of Tennessee Knoxville,United States of America,317061
Boston College,United States of America,316716
Technion Israel Institute of Technology,Israel,316453
University of Oslo,Norway,314830
University of Sussex,United Kingdom,314789
University of East Anglia,United Kingdom,312799
Stockholm University,Sweden,311472
University of Gothenburg,Sweden,311189
Iowa State University,United States of America,309032
Macquarie University,Australia,308943
Université d'Ottawa,Canada,307521
University of Missouri Columbia,United States of America,305154
Kyoto University,Japan,304820
Oregon State University,United States of America,304501
Université de Lausanne,Switzerland,303705
Shandong University,China,302745
University of Calgary,Canada,301863
University of Reading,United Kingdom,299851
Newcastle University Newcastle upon Tyne,United Kingdom,299741
University of South Florida,United States of America,299289
University of Otago,New Zealand,297692
University College Cork,Ireland,296571
University of Central Florida,United States of America,296217
Kent State University,United States of America,295685
University of Cyprus,Cyprus,295150
Zhejiang University (National Che Kiang University),China,294934
University of Science & Technology of China,China,294627
Johannes Gutenberg Universität Mainz,Germany,294188
Technische Universität Dresden,Germany,294176
University of Kentucky,United States of America,292574
Università degli Studi di Firenze,Italy,292151
Charité Universitätsmedizin Berlin,Germany,290726
Trinity College Dublin,Ireland,290421
Indiana University System,United States of America,287142
Technical University of Denmark,Denmark,287088
Université Laval,Canada,286829
Southern Methodist University,United States of America,286490
University of Alabama Birmingham,United States of America,285064
Erasmus University of Rotterdam,Netherlands,282467
University of Warwick,United Kingdom,280812
Curtin University of Technology,Australia,280559
Dalhousie University,Canada,280184
Hokkaido University,Japan,280145
Medical University of South Carolina,United States of America,279947
Peking University,China,278912
Università degli Studi di Trento,Italy,278847
Xi'An Jiaotong University,China,278239
University of Newcastle,Australia,277749
Università degli Studi di Torino,Italy,277721
California Institute of Technology Caltech Jet Propulsion Laboratory,United States of America,277630
Queensland University of Technology,Australia,277575
Washington State University Pullman,United States of America,277369
Technische Universität Berlin,Germany,277238
Florida International University,United States of America,275843
Universität Tubingen,Germany,275360
University of Wollongong,Australia,273868
University of Groningen,Netherlands,273265
Nanjing University,China,272945
(1) Yonsei University,South Korea,272690
London School of Hygiene & Tropical Medicine,United Kingdom,272124
Universidad Nacional Autónoma de México,Mexico,271712
University of Victoria British Columbia,Canada,269179
(1) Sungkyunkwan University,South Korea,268481
University of South Carolina,United States of America,267849
Università degli Studi di Roma Tor Vergata,Italy,267708
University of Saint Andrews,United Kingdom,267109
National Chiao Tung University,Taiwan,266870
University of Texas San Antonio,United States of America,266097
Harbin Institute of Technology,China,263954
University of Technology Sydney,Australia,263825
Universität Wien,Austria,263572
Unification Theological Seminary,United States of America,263234
Heinrich Heine Universität Düsseldorf,Germany,263125
University of Delaware,United States of America,255812
Universität Freiburg,Germany,254907
University of Tartu,Estonia,254632
Louisiana State University,United States of America,253201
Hanyang University,South Korea,253128
Universität Innsbruck,Austria,251281
CUNY Graduate Center,United States of America,251184
Universidade Estadual de Campinas UNICAMP,Brazil,251013
University of Saskatchewan,Canada,249579
James Cook University,Australia,249067
Duke-NUS Graduate Medical School Singapore,Singapore,248935
Georgia State University,United States of America,248714
Freie Universität Berlin,Germany,247458
Universidade do Estado do Rio de Janeiro UERJ,Brazil,246946
San Diego State University,United States of America,246347
Thomas Jefferson University,United States of America,246087
(1) Università Commerciale Luigi Bocconi Milano,Italy,245949
(1) Norwegian University of Science & Technology,Norway,244406
Indiana University,United States of America,242540
Université Mohammed V de Rabat,Morocco,241708
Soochow University,China,241632
Universidade Federal do Rio de Janeiro,Brazil,241100
Christian Albrechts Universität zu Kiel,Germany,240985
Università degli Studi di Brescia,Italy,240234
Universität Konstanz,Germany,239837
Université de Fribourg,Switzerland,239689
Florida Institute of Technology,United States of America,238640
University of Tokyo,Japan,238376
Medizinische Universität Wien,Austria,238247
City College of New York CUNY,United States of America,237174
(1) Korea Advanced Institute of Science & Technology KAIST,South Korea,237100
University of Rochester Medical Center,United States of America,237024
Università degli Studi di Parma,Italy,235940
Open University UK,United Kingdom,235784
Università degli Studi di Verona,Italy,234956
Deakin University,Australia,234825
Università degli Studi di Milano Bicocca,Italy,234732
National Research University Higher School of Economics,Russia,234276
University of Bath,United Kingdom,234204
University of Surrey,United Kingdom,233016
Brigham Young University,United States of America,232836
Aalto University,Finland,232047
Università degli Studi di Udine,Italy,231483
Universidad Autónoma de Madrid,Spain,231250
University of Antwerp,Belgium,230453
Universität zu Köln,Germany,230119
Shanghai Jiao Tong University,China,229551
Tulane University,United States of America,229356
University of California Merced,United States of America,228563
University of North Texas,United States of America,227760
Southeast University,China,226441
University of Liverpool,United Kingdom,226303
Université Grenoble Alpes (Communauté Université Grenoble Alpes),France,226253
Tohoku University,Japan,226002
Università degli Studi di Genova,Italy,224354
International School for Advanced Studies,Italy,224120
Ulsan National Institute of Science & Technology UNIST,South Korea,223320
École Normale Supérieure ENS Paris (comUE Université Paris PSL),France,220868
Universität Würzburg,Germany,220658
Università Cattolica del Sacro Cuore,Italy,220577
Institute of Cancer Research University of London,United Kingdom,220326
Brandeis University,United States of America,219750
Seconda Università degli Studi di Napoli,Italy,219023
Northern Arizona University,United States of America,218235
Bar Ilan University,Israel,217672
Rheinische Friedrich Wilhelms Universität Bonn,Germany,217410
(3) University of Tennessee Health Science Center Memphis,United States of America,217330
Griffith University,Australia,216717
Istanbul Technical University,Turkey,215939
New Jersey Institute of Technology,United States of America,214781
University of Alabama,United States of America,214572
University of Manitoba,Canada,214400
Tehran University of Medical Sciences,Iran,213266
Université de Bordeaux (ComUE d'Aquitaine),France,213262
Flinders University,Australia,212694
Universität Leipzig,Germany,212624
Wuhan University,China,211535
University of Bergen,Norway,209183
Eindhoven University of Technology,Netherlands,208067
University of Rhode Island,United States of America,207914
University of South Australia,Australia,207453
University of Southern Denmark,Denmark,206908
University of Oklahoma,United States of America,206426
Carleton University,Canada,204485
Fudan University (Shanghai Medical University),China,202795
Justus Liebig Universität Giessen,Germany,201400
Bangor University,United Kingdom,200599
University of Eastern Finland,Finland,200203
Portland State University,United States of America,200151
Universidade do Minho,Portugal,200088
Florida Atlantic University,United States of America,199858
University of Twente,Netherlands,197516
Huazhong University of Science & Technology,China,197400
Linköping University,Sweden,197227
University of Iceland,Iceland,195823
Swansea University,United Kingdom,195323
(1) Friedrich Alexander Universität Erlangen Nürnberg FAU,Germany,195006
National Central University,Taiwan,194868
University of Arkansas Fayetteville,United States of America,194841
Université de Paris XI,France,194756
(3) Lund University Lund Institute of Technology,Sweden,194650
Kyushu University,Japan,194085
La Trobe University,Australia,194057
West Virginia University,United States of America,193749
Nankai University,China,192973
University of Nevada Las Vegas,United States of America,192728
University of Wisconsin Milwaukee,United States of America,191487
Birkbeck University of London,United Kingdom,191280
Queen's University Belfast,United Kingdom,190907
Umea University,Sweden,190900
Northeastern University,United States of America,190649
National Cheng Kung University,Taiwan,190169
Università degli Studi di Modena e Reggio Emilia,Italy,189922
Auburn University,United States of America,189709
Universidade Nova de Lisboa,Portugal,189189
University of Alaska System,United States of America,189133
Binghamton University,United States of America,188860
(3) University of Texas Medical Branch Galveston,United States of America,188483
Loughborough University,United Kingdom,188214
Medizinische Universität Innsbruck,Austria,188120
Universität Stuttgart,Germany,187968
Universidad de Zaragoza,Spain,187615
Clemson University,United States of America,186798
Technische Universität Wien,Austria,186441
RMIT University,Australia,185776
Lehigh University,United States of America,185497
Montana State University,United States of America,185386
INSEAD Business School,France,185210
Medizinische Hochschule Hannover,Germany,184876
Royal Institute of Technology,Sweden,184866
Waseda University,Japan,184588
Universitat Pompeu Fabra,Spain,183636
HEC Montréal École de Gestion,Canada,183475
Universidad de los Andes Colombia,Colombia,183169
University of Maryland Baltimore County,United States of America,182974
Friedrich Schiller Universität Jena,Germany,182234
Universität Potsdam,Germany,181916
University of Mississippi,United States of America,180057
Tokyo Metropolitan University,Japan,179675
Universidade de Lisboa,Portugal,179671
University of Memphis (including Lambuth),United States of America,179130
University of Malaya,Malaysia,178974
(3) University of Kansas Medical Center,United States of America,178261
Chalmers University of Technology,Sweden,178075
Old Dominion University,United States of America,177796
Universidade Federal de Minas Gerais UFMG,Brazil,177393
Politecnico di Milano,Italy,176453
Universität Bremen,Germany,176213
Sun Yat Sen University (Zhongshan University),China,175858
Université d’Aix Marseille,France,175558
South China University of Technology,China,175115
Università degli Studi di Siena,Italy,173416
University of Guelph,Canada,173038
Università degli Studi di Palermo,Italy,172065
University of the Witwatersrand,South Africa,171758
National University of Ireland NUI Galway,Ireland,171362
University of Tasmania,Australia,170653
Medical College of Wisconsin,United States of America,170631
Oklahoma State University Stillwater,United States of America,170620
American University of Beirut,Lebanon,169907
Università degli Studi di Trieste,Italy,169714
Universität Hannover,Germany,169621
Illinois Institute of Technology,United States of America,169153
University of Pretoria,South Africa,168920
East China University of Science & Technology,China,168789
University of Ulster,United Kingdom,168749
Massey University,New Zealand,168532
Nanjing Agricultural University,China,168356
University of New Brunswick,Canada,167601
Copenhagen Business School,Denmark,167160
University of Kent,United Kingdom,166746
Universität Münster,Germany,166585
Universidade de Aveiro,Portugal,166509
University of Canterbury,New Zealand,166378
(3) Texas A&M University Health Science Center,United States of America,165859
Technische Universität Graz,Austria,165603
Tianjin University,China,165174
Universität Hamburg,Germany,165095
Universidade de Coimbra,Portugal,164811
Concordia University Montréal,Canada,164094
École Polytechnique (comUE Université Paris Saclay),France,163895
Universidade Federal do Rio Grande do Sul UFRGS,Brazil,163702
University of Louisville,United States of America,163569
City University London,United Kingdom,163442
Università degli Studi del Piemonte Orientale Amedeo Avogadro,Italy,163105
Amity University,India,162953
Rochester Institute of Technology,United States of America,162819
Universitat Autònoma de Barcelona,Spain,162637
University of Strathclyde,United Kingdom,162522
Boğaziçi University,Turkey,162251
Baylor University,United States of America,162107
Università degli Studi della Basilicata,Italy,161556
Colorado School of Mines,United States of America,161236
University of Tsukuba,Japan,160622
Universitat Rovira i Virgili,Spain,160483
University of Nebraska Medical Center,United States of America,159952
Indian Institute of Technology Bombay,India,159622
Sauder School of Business,Canada,159554
Santa Fe Institute,United States of America,158899
Université de Toulouse III,France,158877
University of Idaho,United States of America,158540
Johannes Kepler Universität Linz,Austria,158394
University of Maine System,United States of America,158222
Università Politécnica delle Marche,Italy,158156
University of Nevada Reno,United States of America,157861
Universität Bielefeld,Germany,157221
European University Institute,Italy,156935
Beijing Normal University,China,156934
University of Essex,United Kingdom,156743
University of Lethbridge,Canada,156084
Universidad Politécnica de Valencia,Spain,155519
École Polytechnique de Montréal,Canada,155500
University of Texas El Paso,United States of America,155060
Saint George's University of London,United Kingdom,154990
Northumbria University,United Kingdom,154929
Humboldt Universität zu Berlin,Germany,154354
National Sun Yat Sen University,Taiwan,154304
Chongqing University,China,154070
Università della Svizzera Italiana Lugano,Switzerland,154036
Universiti Sains Malaysia,Malaysia,153782
ParisTech Institut des Sciences et Technologies de Paris,France,153419
University of Oulu,Finland,153326
Universität Mannheim,Germany,152542
(1) Hunan University,China,152122
Inha University,South Korea,151744
National Tsing Hua University Taiwan,Taiwan,151604
Université de Strasbourg,France,151164
Georg-August-Universität Göttingen,Germany,150992
University of Electronic Science & Technology of China,China,150846
Aristotle University of Thessaloniki,Greece,150612
Universidade Federal do ABC UFABC,Brazil,150559
University of Sharjah,United Arab Emirates,150339
University at Albany,United States of America,148966
Universität Ulm,Germany,148831
Université de Rennes I (comUE Université Bretagne Loire),France,148301
University of Denver,United States of America,148028
(1) Kyung Hee University,South Korea,147975
Université de Nice,France,147872
Indian Institute of Technology Kanpur,India,147872
Jyväskylä University,Finland,147799
Universität zu Lubeck,Germany,147386
Free University of Brussels,Belgium,146707
University of Haifa,Israel,146627
Philipps Universität Marburg,Germany,146578
Sichuan University,China,146395
(1) University of South Alabama,United States of America,146289
(3) Texas Tech University Health Sciences Center,United States of America,145892
University of Hull,United Kingdom,145620
Jilin University,China,144974
Babson College,United States of America,144803
University of Stavanger,Norway,144526
Università degli Studi Roma Tre,Italy,144334
Université du Québec Montréal,Canada,144241
University of Missouri Kansas City,United States of America,144148
Pontificia Universidade Católica do Paraná PUCPR,Brazil,143644
Universidad de Puerto Rico,Puerto Rico,143135
University of Glasgow,United Kingdom,143079
Xiamen University,China,142887
