UNIVERSITY,COUNTRY,CITATIONS
Washington State University Vancouver,United States of America,24228
Université d'Avignon,France,24197
Wakayama University,Japan,24186
Pontificia Universidad Católica del Perú,Peru,24173
Hongik University,South Korea,24168
Indira Gandhi Institute of Development and Research,India,24138
Universidad Nacional de Tucumán,Argentina,24136
Harper Adams University,United Kingdom,24117
Academic College of Tel-Aviv-Yaffo,Israel,24116
University of Buckingham,United Kingdom,24106
Université de Recherche Paris Sciences et lettres (comUE Université Paris PSL),France,24072
University of Alaska Anchorage,United States of America,24051
IMT Atlantique,France,24039
(1) University System of Maryland,United States of America,23966
Tomsk State University,Russia,23952
Rikkyo University,Japan,23945
Universitat Ramon Llull,Spain,23923
(1) Korea Aerospace University (Hankuk Aviation University),South Korea,23913
Poznań University of Life Sciences,Poland,23899
Universiti Malaysia Sabah,Malaysia,23830
William Paterson University of New Jersey,United States of America,23751
Chiba University,Japan,23743
National Taras Shevchenko University of Kyiv,Ukraine,23726
Universidade Federal dos Vales do Jequitinhonha e Mucuri UFVJM,Brazil,23693
Southern Taiwan University of Science & Technology,Taiwan,23680
Capital Normal University,China,23663
Central University of Tamil Nadu,India,23616
Lafayette College,United States of America,23596
London Metropolitan University,United Kingdom,23590
Université de Technologie de Belfort Montbéliard (comUE Université Bourgogne Franche Comté),France,23567
Vlerick Leuven Gent Management School,Belgium,23519
Tennessee State University,United States of America,23519
Chosun University,South Korea,23443
Changwon National University,South Korea,23412
University of the Philippines Diliman,Philippines,23366
Macau University of Science & Technology,Macao,23332
Islamic Azad University Tehran Science & Research Branch,Iran,23314
Universidad Católica del Norte,Chile,23298
Başkent University,Turkey,23235
Instituto de Ensino e Pesquisa INSPER,Brazil,23230
University of Wisconsin Parkside,United States of America,23215
Cumhuriyet University,Turkey,23180
Université de Mulhouse,France,23114
Hull York Medical School,United Kingdom,23085
State University of New York at Oswego,United States of America,23066
University of Northern Iowa,United States of America,23056
Gdansk University,Poland,23033
Tshwane University of Technology,South Africa,23013
Medical University Prof Dr Paraskev Stoyanov Varna,Bulgaria,22991
Semnan University,Iran,22949
Universitatea Tehnica din Cluj-Napoca (North University of Baia Mare),Romania,22947
Zayed University,United Arab Emirates,22910
Henan University,China,22880
California State University Sacramento,United States of America,22875
Pázmány Péter Catholic University Budapest,Hungary,22871
University of Guilan,Iran,22827
Hirosaki University,Japan,22771
Indian Statistical Institute Delhi,India,22767
Iran Polymer and Petrochemical Institute,Iran,22755
National Institute of Fundamental Studies,Sri Lanka,22746
Indian Institute of Management Lucknow,India,22744
University of Mazandaran Babolsar,Iran,22723
The Fourth Military Medical University,China,22700
institut National des sciences Appliquées de Rouen,France,22559
Fujian Normal University,China,22539
Kwansei Gakuin University,Japan,22522
Université de Toulon,France,22514
Naresuan University,Thailand,22504
University of Central Arkansas,United States of America,22504
Kenyon College,United States of America,22471
Zeppelin Universität,Germany,22445
Kyoto Prefectural University of Medicine,Japan,22445
Benha University,Egypt,22422
Nitte University,India,22413
Belgorod State Technological University VG Shukhov,Russia,22401
Stiftung Tierärztliche Hochschule Hannover,Germany,22389
Indian Institute of Technology Bhubaneswar,India,22379
Gaziosmanpaşa University,Turkey,22349
Universidade Federal de Mato Grosso do Sul,Brazil,22344
Pomona College,United States of America,22322
"École Nationale Supérieure d’Électrotechnique, d’Électronique, d’Informatique, d’Hydraulique et des Télécommunications INP ENSEEIHT (comUE Université de Toulouse)",France,22304
University of West London (Thames Valley University),United Kingdom,22271
Khulna University of Engineering & Technology,Bangladesh,22266
University of Baltimore,United States of America,22261
Texas A&M International University,United States of America,22239
"Advanced Centre for Treatment, Research & Education in Cancer",India,22222
Maharaja Sayajirao University of Baroda,India,22211
Universidade de Pernambuco,Brazil,22209
Showa University,Japan,22098
Konan University,Japan,22069
Technical University of Košice,Slovakia,21977
Prince Mohammad Bin Fahd University,Saudi Arabia,21976
University of Cumbria,United Kingdom,21877
(1) Incheon National University (University of Incheon),South Korea,21819
Universidad Tecnológica de Pereira,Colombia,21802
(3) Universidad de la República Facultad de Ciencias,Uruguay,21797
Umm Al Qura University,Saudi Arabia,21794
Centurion University of Technology and Management,India,21779
Subharti University,India,21778
Minufiya University,Egypt,21706
Thammasat University,Thailand,21691
Kurukshetra University,India,21673
Universiti Tun Hussein Onn Malaysia,Malaysia,21657
Universidade Federal de Juiz de Fora UFJF,Brazil,21654
Rose Hulman Institute of Technology,United States of America,21652
Universidad Nacional de Lanús,Argentina,21640
Bryn Mawr College,United States of America,21635
Politehnica University Timisoara,Romania,21628
Colby College,United States of America,21572
Universitas Mercu Buana,Indonesia,21565
Kunsan National University,South Korea,21480
Northern Ontario School of Medicine (Laurentian University Lakehead University),Canada,21478
ISCTE Instituto Universitário de Lisboa,Portugal,21474
University of the Highlands and Islands,United Kingdom,21466
Indiana State University,United States of America,21451
Ming Chi University of Technology,Taiwan,21352
Fiji National University,Fiji,21319
Universidad de Valparaíso,Chile,21302
(3) University of Malawi College of Medicine,Malawi,21280
Najran University,Saudi Arabia,21261
California State University East Bay,United States of America,21259
Muğla Sıtkı Koçman University,Turkey,21254
Lebanese American University,Lebanon,21227
Universidad Pontificia Comillas,Spain,21224
Kharkiv National Pedagogical University,Ukraine,21206
Drake University,United States of America,21191
Instituto Politécnico de Bragança,Portugal,21171
Cork Institute of Technology,Ireland,21143
Middle East University Jordan,Jordan,21085
Queen Margaret University,United Kingdom,20989
University of Notre Dame Australia,Australia,20977
University of Allahabad,India,20972
Silesian University of Technology in Gliwice,Poland,20968
Universidad Nacional Mayor de San Marcos,Peru,20948
Haverford College,United States of America,20930
Motilal Nehru National Institute of Technology,India,20923
North China Electric Power University,China,20912
(1) United States Military Academy at West Point,United States of America,20866
Occidental College,United States of America,20863
Birmingham City University (University of Central England),United Kingdom,20835
Sookmyung Women's University,South Korea,20826
Western Carolina University,United States of America,20781
Indian Institute of Information Technology Allahabad,India,20769
California State University Chico,United States of America,20743
Kochi University of Technology,Japan,20712
University of Dar Es Salaam,Tanzania,20708
Toyohashi University of Technology,Japan,20705
Universidad de la Serena,Chile,20689
Universidade Federal do Amazonas UFAM,Brazil,20674
(3) Shenzhen Graduate School Peking University,China,20646
Mersin University,Turkey,20646
Paris School of Economics,France,20615
Tokyo Medical University,Japan,20612
De La Salle University Manila,Philippines,20609
Jeju National University (Cheju),South Korea,20588
Gettysburg College,United States of America,20552
Evergreen State College,United States of America,20536
Slovak University of Technology in Bratislava,Slovakia,20525
Ibaraki University,Japan,20508
Al Imam Muhammad Ibn Saud Islamic University,Saudi Arabia,20461
Instituto de Empresa Business School,Spain,20430
École des Hautes Études en santé publique EHESP (comUE Université Sorbonne Paris Cité),France,20412
Hochschule für Angewandte Wissenschaften Hamburg,Germany,20366
(1) Universidade Cruzeiro do Sul,Brazil,20353
(1) Universidad del Desarrollo,Chile,20310
Universidade da Madeira,Portugal,20296
College of Wooster,United States of America,20272
Hashemite University,Jordan,20245
Université Cadi Ayyad Marrakech,Morocco,20241
Bishop's University,Canada,20224
Universidade São Francisco,Brazil,20193
University of Akureyri,Iceland,20193
National Institute of Technology Hamirpur,India,20176
Ondokuz Mayýs University,Turkey,20163
National Defence University of Malaysia,Malaysia,20126
Sonoma State University,United States of America,20115
Universidad Internacional de La Rioja,Spain,20107
Sastra University,India,20084
Prince of Songkla University,Thailand,20077
Haute École d'Ingénierie et de Gestion du Canton de Vaud,Switzerland,20073
Christopher Newport University,United States of America,20071
Prairie View A&M University,United States of America,20039
Chaoyang University of Technology,Taiwan,20022
Antioch University,United States of America,20004
Canterbury Christ Church University,United Kingdom,19977
Université de Marne la Vallée,France,19970
Faculdade de Odontologia São Leopoldo Mandic,Brazil,19935
Ahvaz Jundishapur University of Medical Sciences,Iran,19932
Thompson Rivers University,Canada,19921
IÉSEG School of Management,France,19919
University of Kragujevac,Serbia,19912
National Ilan University,Taiwan,19906
İbn Haldun Üniversitesi,Turkey,19887
Universidad de Antofagasta,Chile,19877
(1) Southern Medical University (First Military Medical University),China,19792
Yamaguchi University,Japan,19727
Universidad de Deusto Deustuko Unibertsitatea,Spain,19719
California State University Monterey Bay,United States of America,19717
Mazandaran University of Medical Sciences Sari,Iran,19705
Eastern Connecticut State University,United States of America,19651
Colorado College,United States of America,19643
Jain University,India,19635
Universidade Federal Rural de Pernambuco UFRPE,Brazil,19633
Bezm-i Alem University,Turkey,19615
Siberian Federal University,Russia,19594
Universidade Estadual do Ceará,Brazil,19573
Universidade Federal da Grande Dourados UFGD,Brazil,19559
University of Zielona Góra,Poland,19538
Hanbat National University,South Korea,19531
Fayetteville State University,United States of America,19530
Hangzhou Normal University,China,19526
National Taipei University,Taiwan,19524
Rectorat et Chancellerie des Universités de Paris,France,19511
Chiang Mai University,Thailand,19495
Universitas Brawijaya,Indonesia,19466
Estonian University of Life Sciences,Estonia,19452
İnönü University Malatya,Turkey,19425
University of Niš,Serbia,19409
National University of Science & Technology MISIS (Moscow Institute of Steel and Alloys),Russia,19398
Lahore University of Management Sciences,Pakistan,19370
King Faisal University,Saudi Arabia,19311
University of Lapland,Finland,19310
Medical University of Silesia in Katowice,Poland,19310
Seton Hall University,United States of America,19286
University of New Haven,United States of America,19278
(1) Chandigarh Group of Colleges,India,19258
Pontificia Universidad Católica del Ecuador,Ecuador,19222
Babasaheb Bhimrao Ambedkar University Lucknow,India,19200
Tokyo University of Pharmacy & Life Sciences,Japan,19165
(1) Szent István University,Hungary,19164
Ponce School of Medicine,Puerto Rico,19155
Private Universität fur Gesundheitswissenschaften Medizinische Informatik und Technik,Austria,19138
Indian Institute of Management Ahmedabad,India,19108
Dr Reddy's Laboratories,India,19091
Oberlin College,United States of America,19083
Kitakyushu University,Japan,19075
Universitat de les Illes Balears,Spain,19053
Fachhochschule Aachen,Germany,18996
National Technical University Kharkiv Polytechnical Institute,Ukraine,18983
Indian Institute of Science Education and Research Thiruvananthapuram,India,18968
Tokyo University of Marine Science & Technology,Japan,18965
University of Peloponnese,Greece,18939
Yıldırım Beyazıt University,Turkey,18914
Bath Spa University,United Kingdom,18875
Hankuk University of Foreign Studies,South Korea,18873
Vietnam National University Hanoi,Viet Nam,18849
Universidad del Norte Barranquilla,Colombia,18844
Keimyung University,South Korea,18839
Hobart and William Smith Colleges,United States of America,18838
(1) Lublin University of Technology,Poland,18817
Nipissing University,Canada,18808
University of Da Nang,Viet Nam,18764
Universidad de San Andrés Buenos Aires,Argentina,18757
Gonzaga University,United States of America,18748
Université de Chambéry,France,18742
Oslo and Akershus University College of Applied Sciences,Norway,18736
Universidade de Ribeirão Preto UNAERP,Brazil,18720
Abant Izzet Baysal University,Turkey,18683
Colegio de México,Mexico,18666
Connecticut College,United States of America,18650
Chandler Gilbert Community College,United States of America,18647
Universität Erfurt,Germany,18629
Kocaeli University,Turkey,18552
The Second Military Medical University,China,18540
Universidade de Franca UNIFRAN,Brazil,18534
Union College Schenectady NY,United States of America,18524
Haute École Valaisanne,Switzerland,18515
High Point University,United States of America,18495
University of Management and Technology,Pakistan,18467
Belarusian National Technical University,Belarus,18425
Ngee Ann Polytechnic,Singapore,18414
West University of Timisoara,Romania,18408
National Institute of Chemical Physics and Biophysics,Estonia,18389
Kühne Logistics University,Germany,18386
Universidad Nacional del Sur,Argentina,18374
Universidade Estadual de Santa Cruz UESC,Brazil,18371
University of California Hastings College of the Law,United States of America,18364
Goa University,India,18357
Damietta University,Egypt,18355
Tokai University,Japan,18355
National Park College,United States of America,18316
(1) Ostrava University,Czech Republic,18311
National University of Defense Technology (National Defense University),China,18310
Universidade Federal do Pampa UNIPAMPA,Brazil,18299
South Ural State University,Russia,18299
Kasetsart University,Thailand,18295
University Centre in Svalbard,Norway,18284
Tamil Nadu Agricultural University,India,18277
Universidad Nacional de Río Cuarto,Argentina,18265
Universidad Autónoma de Nuevo León,Mexico,18265
(3) Universidad de la República Facultad de Química,Uruguay,18253
California State University San Marcos,United States of America,18244
University at Bialystok,Poland,18237
Kongju National University,South Korea,18234
Hellenic Open University,Greece,18213
Alfaisal University,Saudi Arabia,18211
Stavropol State Agrarian University,Russia,18193
Universidad de Carabobo,Venezuela,18186
Leon Kozminski Academy of Entrepreneurship and Management,Poland,18173
K L University,India,18165
(1) Otto Von Guericke Universität Magdeburg,Germany,18160
Shahid Bahonar University of Kerman,Iran,18144
Universidade Federal do Maranhão,Brazil,18126
University of the South Pacific,Fiji,18113
Toyota Technological Institute,Japan,18048
Pakistan Institute of Engineering & Applied Sciences Islamabad,Pakistan,18047
Universitat de Vic Universitat Central de Catalunya,Spain,18020
Kuvempu University,India,18011
Abdul Wali Khan University Mardan,Pakistan,18011
Indian Institute of Technology Mandi,India,18005
Universitetet i Sørøst-Norge,Norway,18003
Mae Fah Luang University,Thailand,17997
National University of Kaohsiung,Taiwan,17975
Western New England University,United States of America,17955
Siena College,United States of America,17952
Universidade Federal de São João del Rei UFSJ,Brazil,17947
Hautes Écoles Specialisees Geneve (Haute École de Travail Social),Switzerland,17942
Trinity College,United States of America,17935
Høyskolen Kristiania,Norway,17892
Universidad Nacional de San Luis,Argentina,17874
Universidad Loyola Andalucia,Spain,17865
Government College University Faisalabad,Pakistan,17852
Youngstown State University,United States of America,17845
National University of Kyiv Mohyla Academy,Ukraine,17844
Military Academy of Technology in Warsaw,Poland,17805
Fairleigh Dickinson University,United States of America,17797
King Mongkut's Institute of Technology Ladkrabang,Thailand,17788
Kristianstad University College,Sweden,17782
Hamilton College,United States of America,17774
University of the Sciences in Philadelphia,United States of America,17749
Fairfield University,United States of America,17743
Coastal Carolina University,United States of America,17720
Texas Woman's University,United States of America,17711
Montpellier Business School,France,17710
Warsaw University of Life Sciences (Agricultural University),Poland,17684
Çanakkale Onsekyz Mart University,Turkey,17676
Soonchunhyang University,South Korea,17673
Pepperdine University,United States of America,17671
Shandong Agricultural University,China,17669
North Eastern Hill University,India,17668
Universitas Katolik Widya Mandala Surabaya,Indonesia,17639
Hampton University,United States of America,17632
Trakya University,Turkey,17593
Warsaw School of Economics,Poland,17588
Universidad de Talca,Chile,17583
Tokushima Bunri University,Japan,17574
Hubei University,China,17568
Minnesota State University Mankato,United States of America,17565
China University of Petroleum Beijing,China,17542
Universidad Autónoma Metropolitana Xochimilco,Mexico,17523
University of Hradec Králové,Czech Republic,17505
Duy Tan University,Viet Nam,17498
Universidade dos Açores,Portugal,17496
Sang Myung University,South Korea,17456
Kyoto Institute of Technology,Japan,17417
Wenzhou University,China,17398
Buffalo State SUNY,United States of America,17391
Hogeschool Utrecht (Hogeschool Domstad),Netherlands,17355
Yaşar University,Turkey,17331
Chuo University,Japan,17329
Acibadem University,Turkey,17328
University of Sadat City,Egypt,17291
Işık University,Turkey,17282
Tokyo Denki University,Japan,17264
Djillali Liabes university of Sidi Bel Abbes,Algeria,17256
University of Shizuoka,Japan,17239
Western Norway University of Applied Sciences,Norway,17227
California State University Bakersfield,United States of America,17222
Kerman University of Medical Sciences,Iran,17211
Jagadguru Sri Shivarathreeshwara University,India,17192
Instituto Tecnológico Autónomo de México,Mexico,17186
Xavier University of Cincinnati,United States of America,17170
National Institute of Technology Kurukshetra (Regional Engineering College),India,17155
Universidade do Vale do Paraíba UNIVAP,Brazil,17132
Central Washington University,United States of America,17122
Europa Universität Viadrina Frankfurt Oder,Germany,17115
Universidade do Estado de Santa Catarina UDESC,Brazil,17112
University of the West Indies Cave Hill Campus Barbados,Barbados,17109
Citadel Military College of South California,United States of America,17095
Arabian Gulf University,Bahrain,17088
Western University of Health Sciences,United States of America,17087
Odessa National I I Mechnikov University,Ukraine,17062
Sambalpur University,India,17044
California State University System,United States of America,17031
Kurume University,Japan,16994
University of Sistan and Baluchestan,Iran,16992
Universidad de Tarapacá,Chile,16974
ITM University Gwalior,India,16958
Kwame Nkrumah University of Science & Technology,Ghana,16947
Indian Institute of Technology Patna,India,16947
University of Illinois Springfield,United States of America,16943
Kafrelsheikh University,Egypt,16942
Balikesir University,Turkey,16940
Izmir Katip Celebi University,Turkey,16938
Gdansk University of Technology,Poland,16906
Northern Michigan University,United States of America,16863
Nelson Mandela University,South Africa,16849
Roseman University of Health Sciences (University of Southern Nevada),United States of America,16836
Prince Sultan University,Saudi Arabia,16830
University of Arid Agriculture Rawalpindi,Pakistan,16797
University of Skovde,Sweden,16796
Hult International Business School,United States of America,16789
Taegu University,South Korea,16785
Universidad Distrital Francisco José de Caldas,Colombia,16756
Assam University,India,16751
Universidade Federal Rural do Semi-Árido UFERSA,Brazil,16709
University of Abertay,United Kingdom,16685
King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,16676
Saint Joseph's University,United States of America,16669
Lviv Medical University,Ukraine,16649
Shahid Chamran University of Ahvaz,Iran,16644
Kermanshah University of Medical Sciences,Iran,16602
(3) Instituto Superior de Engenharia de Lisboa,Portugal,16593
Universidad Central Marta Abreu de las Villas,Cuba,16591
Tianjin University of Technology,China,16578
Guangdong University of Technology,China,16576
Dublin Institute For Advanced Studies DIAS,Ireland,16573
Hochschule Bonn Rhein Sieg,Germany,16557
Florida Agricultural & Mechanical University,United States of America,16554
Université de Moncton,Canada,16528
Osmania University Hyderabad,India,16516
Universidad de Córdoba Colombia,Colombia,16512
Universidade do Vale do Itajaí UNIVALI,Brazil,16475
Akita University,Japan,16471
University of Hartford,United States of America,16467
Western Illinois University,United States of America,16462
Universitas Islam Indonesia,Indonesia,16450
(3) Faculty of Geo-Information Science and Earth Observation University of Twente,Netherlands,16450
Manhattan College,United States of America,16446
Shantou (Swatow) University,China,16445
Technological Education Institute of Athens,Greece,16421
Fukushima Medical University,Japan,16418
Fayoum University,Egypt,16407
Abdullah Gül University Kayseri,Turkey,16387
University of Zanjan,Iran,16355
Elon University,United States of America,16317
Mangalore University,India,16312
Moi University,Kenya,16295
Gandhigram Rural University,India,16287
North South University Bangladesh,Bangladesh,16278
Rutgers The State University of New Jersey Newark,United States of America,16265
Ivane Javakhishvili Tbilisi State University,Georgia,16261
Qassim University,Saudi Arabia,16250
Butler University,United States of America,16238
Düzce University,Turkey,16235
Universidad Católica San Antonio de Murcia,Spain,16232
Roosevelt University,United States of America,16220
Iskenderun Technical University,Turkey,16157
École Nationale Supérieure de mécanique et d'Aérotechnique de Poitiers ISAE ENSMA (comUE Université confédérale Léonard de Vinci),France,16153
Manonmaniam Sundaranar University,India,16151
John Carroll University,United States of America,16150
Vidyasagar University,India,16140
Universidade Federal de Mato Grosso,Brazil,16135
Institut Pertanian Bogor,Indonesia,16135
Kahramanmaras Sutcu Imam University,Turkey,16125
AgroSup Dijon,France,16107
Kirikkale University,Turkey,16083
Zagazig University,Egypt,16064
Technische Hochschule Mittelhessen (Fachhochschule Giessen Friedberg),Germany,16056
Galgotias College of Engineering and Technology,India,16053
KIET Group of Institutions,India,16050
AIMST University,Malaysia,16030
Royal Roads University,Canada,16020
Pittsburg State University,United States of America,16020
Universitat Internacional de Catalunya,Spain,16016
Universitas Sumatera Utara,Indonesia,16015
Touro College,United States of America,15991
Lawrence Technological University,United States of America,15990
Zhejiang Normal University,China,15981
National University of Tainan,Taiwan,15939
Yüzüncü Yil University,Turkey,15938
Stetson University,United States of America,15936
Universidade Federal de Itajubá UNIFEI,Brazil,15933
Kerman Graduate University of Technology,Iran,15918
Furman University,United States of America,15913
Saint George's University,Grenada,15908
"(3) Université de Tunis el Manar Faculté des Sciences Mathématiques, Physiques et Naturelles de Tunis",Tunisia,15903
Sokoine University of Agriculture,Tanzania,15901
University of Sargodha,Pakistan,15883
Nara Medical University,Japan,15863
University of Sri Jayewardenepura,Sri Lanka,15863
University of Michigan Flint,United States of America,15831
Lindenwood University,United States of America,15825
École Nationale Polytechnique d'Alger,Algeria,15802
Gurukula Kangri Vishwavidyalaya,India,15800
California Northstate University,United States of America,15788
(3) Universidad de la República Facultad de Ciencias Sociales,Uruguay,15783
University of Bolton,United Kingdom,15780
Tripura University,India,15742
Universidade Estadual do Oeste do Paraná UNIOESTE,Brazil,15731
Moscow Institute of Physics and Technology,Russia,15692
Ternopil National Economy University,Ukraine,15683
Mahatma Jyotiba Phule Rohilkhand University,India,15680
Indian Institute of Technology (Indian School of Mines) Dhanbad,India,15677
Bates College,United States of America,15673
University of West Bohemia (Vysoká Škola v Plzni),Czech Republic,15667
Vet Agro Sup,France,15662
École Nationale Supérieure de Chimie de Lille,France,15661
Technical University of Ostrava,Czech Republic,15650
École normale Supérieure de Rennes,France,15645
Universitas Airlangga,Indonesia,15634
Universitas Islam Negeri UIN Sunan Kalijaga Yogyakarta,Indonesia,15621
Recep Tayyip Erdoğan University (Rize University),Turkey,15617
Taibah University,Saudi Arabia,15613
École Nationale Supérieure de Électronique et de ses Applications ENSEA (Institut Polytechnique du Grand Paris) (comUE Université Paris Seine),France,15612
Helwan University,Egypt,15606
Shahrood University of Technology,Iran,15591
Mount Saint Vincent University,Canada,15584
National Pedagogical University MP Dragomanov,Ukraine,15571
Northwestern Polytechnic University,United States of America,15571
National Medical Academy of Postgraduate Education P L Shupyk,Ukraine,15554
Wilkes University,United States of America,15550
Universidad ICESI,Colombia,15549
Universidade de Passo Fundo,Brazil,15547
North China University of Water Resources and Electric Power,China,15546
Hamedan University of Medical Sciences,Iran,15537
(3) Universidad de la República Facultad de Ingeniería,Uruguay,15526
Radford University,United States of America,15519
Universidade do Sul de Santa Catarina UNISUL,Brazil,15500
Afyon Kocatepe University,Turkey,15490
Institute for Advanced Studies in Basic Sciences,Iran,15460
Nanchang University,China,15447
Mercer University,United States of America,15446
Universidade de Sorocaba,Brazil,15443
Calvin College,United States of America,15406
Claremont Colleges,United States of America,15385
Wonkwang University,South Korea,15383
Arkansas State University,United States of America,15370
Universiti Malaysia Terengganu,Malaysia,15356
University of Wisconsin la Crosse,United States of America,15334
Tennessee Technological University,United States of America,15329
École Française de Papeterie et des Industries Graphiques,France,15328
Baqiyatallah Medical Sciences University,Iran,15283
Mount Royal University,Canada,15273
University of Georgia,Georgia,15261
Abu Dhabi University,United Arab Emirates,15258
Bauhaus Universität Weimar,Germany,15251
Universidade Vila Velha UVV,Brazil,15246
Fielding Graduate University,United States of America,15246
All India institute of Medical Sciences Bhopal,India,15232
Alagappa University,India,15225
Delhi Technological University,India,15213
Fu Jen Catholic University,Taiwan,15167
Healh Sciences University Istanbul,Turkey,15123
Poznan University of Economics,Poland,15112
Saint Olaf College,United States of America,15103
University of Southampton,United Kingdom,15087
University of Wisconsin Oshkosh,United States of America,15074
Konya Necmettin Erbakan University,Turkey,15069
University College Roosevelt (Roosevelt Academy Middelburg),Netherlands,15058
Tokyo University of Technology,Japan,15032
Oita University,Japan,15012
All India Institute of Medical Sciences Rishikesh,India,14984
Central University of Jharkhand,India,14978
Texas A&M University Kingsville,United States of America,14976
Guangxi University,China,14924
Widener University,United States of America,14923
Tokyo City University,Japan,14919
Union County College,United States of America,14917
University of Economics Prague,Czech Republic,14915
Cyprus International University,,14908
Columbia International University,United States of America,14908
University of West Georgia,United States of America,14878
Merrimack College,United States of America,14873
Allegheny College,United States of America,14851
Volgograd State University,Russia,14836
Bahçeşehir Üniversitesi,Turkey,14834
Universitas Islam Negeri UIN Sunan Gunung Djati Bandung,Indonesia,14827
Athens Information Technology,Greece,14820
(1) Marquette University,United States of America,14817
Defence Institute of Advanced Technology,India,14811
Cape Peninsula University of Technology,South Africa,14791
University of Houston Victoria,United States of America,14765
University of Wisconsin Stevens Point,United States of America,14762
Ningxia University,China,14754
Islamic Azad University Isfahan Khorasgan,Iran,14744
Carleton College,United States of America,14729
Samara National Research University,Russia,14719
Annamalai University,India,14716
Indian School of Business Hyderabad,India,14711
State University of New York Geneseo,United States of America,14677
Islamic Azad University Najafabad,Iran,14666
Urmia University,Iran,14657
Universitas Muhammadiyah Malang,Indonesia,14649
Izmir University of Economics,Turkey,14639
University West,Sweden,14623
Whitman College,United States of America,14586
Bordeaux Sciences Agro,France,14536
Palo Alto University (Pacific Graduate School of Psychology),United States of America,14531
Cape Breton University,Canada,14507
Liverpool Hope University,United Kingdom,14501
Universidad Panamericana México,Mexico,14496
Pontificia Universidade Católica do Campinas PUC-CAMPINAS,Brazil,14480
Gorgan University of Agricultural Sciences and Natural Resources,Iran,14480
Colegio de la Frontera Norte,Mexico,14407
Universidad Autónoma de Tamaulipas,Mexico,14404
Pavol Jozef Šafárik University in Košice,Slovakia,14404
Ostfold University College,Norway,14392
University of Nizwa,Oman,14392
Anhui University,China,14391
Yasuj University,Iran,14383
Saint Michael's College,United States of America,14381
Soka University,Japan,14362
Czech University of Life Sciences Prague (University of Agriculture),Czech Republic,14339
(1) University of Benin,Nigeria,14337
University of Primorska,Slovenia,14326
Nara Women's University,Japan,14318
University of Nebraska Kearney,United States of America,14313
Universidad de las Fuerzas Armadas ESPE (Escuela Politécnica del Ejército),Ecuador,14311
Holon Institute of Technology,Israel,14300
Seattle Pacific University,United States of America,14299
Pontificia Universidade Católica do Minas Gerais PUC MINAS,Brazil,14283
Sharif University of Technology Tehran,Iran,14277
Clark Atlanta University,United States of America,14275
Dalian Maritime University,China,14262
Université Libanaise,Lebanon,14230
Rhodes College,United States of America,14166
University of Advancing Technology,United States of America,14164
(3) Dokkyo University School of Medicine,Japan,14158
Technological Education Institute of Thessaloniki,Greece,14150
Shoolini University of Biotechnology and Management Sciences,India,14150
University of Fort Hare,South Africa,14145
University of Jinan,China,14120
Thiagarajar College of Engineering,India,14109
Alzahra University (Azzahra University),Iran,14083
Denison University,United States of America,14077
Togliatti State University,Russia,14066
Vinnitsa National Technical University,Ukraine,14066
SUNY College of Optometry,United States of America,14049
Universidad Autónoma Metropolitana Azcapotzalco,Mexico,14048
Corvinus University of Budapest,Hungary,14047
University of Petroleum & Energy Studies,India,14043
(3) Université de Sfax Faculté des Sciences de Sfax,Tunisia,14031
Central University of Rajasthan,India,14018
(3) Université de Monastir Faculté des Sciences de Monastir,Tunisia,14010
German University in Cairo,Egypt,14001
(3) Catholic University of Leuven Kulak,Belgium,13991
Higher Colleges of Technology,United Arab Emirates,13986
Curtin University Sarawak,Malaysia,13964
University of North Carolina Asheville,United States of America,13959
Shahed University,Iran,13946
Hebei University of Technology,China,13908
Università di Roma LUMSA (Libera Università Maria SS Assunta),Italy,13891
National Institute of Mental Health and Neurosciences,India,13887
(3) University of Minnesota Morris,United States of America,13886
Monmouth University,United States of America,13874
China Jiliang University,China,13866
Purdue University Northwest,United States of America,13859
Longwood University,United States of America,13843
Okayama University of Science,Japan,13839
Iwate University,Japan,13824
Eastern Kentucky University,United States of America,13823
Guilin University of Technology,China,13816
Universidad San Francisco de Quito,Ecuador,13814
Hawaii Pacific University,United States of America,13814
École Normale Supérieure Paris Saclay,France,13810
Northern Kentucky University,United States of America,13809
Alabama State University,United States of America,13803
Murray State University,United States of America,13803
Ateneo de Manila University,Philippines,13800
Seoul Women's University,South Korea,13794
Mustafa Kemal University,Turkey,13786
World Maritime University,Sweden,13769
Universidade Estadual de Montes Claros UNIMONTES,Brazil,13755
Nnamdi Azikiwe University,Nigeria,13755
Université du Havre,France,13753
Xavier University of Louisiana,United States of America,13722
Egypt Japan University of Science & Technology,Egypt,13713
Georgia Gwinnett College,United States of America,13713
University of Illinois System,United States of America,13706
Saint Mary's College of California,United States of America,13703
University of Venda,South Africa,13701
Sahand University of Technology Tabriz,Iran,13679
Southern University and A&M College,United States of America,13670
King Mongkut's University of Technology North Bangkok,Thailand,13655
University of Warmia and Mazury,Poland,13646
Gulf Medical University,United Arab Emirates,13625
University of Western Macedonia,Greece,13604
University of Chichester,United Kingdom,13601
Al Quds University Arab University in Jerusalem,Palestinian Territory,13586
Frederick University,Cyprus,13583
University of Kalyani,India,13583
West Pomeranian University of Technology (Szczecin Univ Technology+Agricultural Univ),Poland,13579
European School of Management and Technology Berlin,Germany,13552
